	value	currency	investors	url
27	1250000000.0	USD	[]	https://agfundernews.com/food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-production?utm_source=rss&utm_medium=rss&utm_campaign=food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-pr
28	23000000.0	USD	"[""Delta Emerald Ventures"", ""Poseidon Asset Management""]"	https://www.prnewswire.com/news-releases/adaviv-raises-2-3m-in-upsized-and-oversubscribed-seed-round-led-by-delta-emerald-ventures-to-scale-their-ai-driven-plant-intelligence-platform-for-indoor-farming-301337221.html
29	4550000000.0	USD	"[""US"", ""Wellcome Trust""]"	https://carb-x.org/carb-x-news/carb-x-awards-up-to-5-4m-to-vedanta-biosciences-to-accelerate-the-development-of-a-novel-human-microbiome-derived-treatment-for-deadly-c-difficile-bacterial-infections/
30	575000000.0	USD	[]	https://carb-x.org/carb-x-news/carb-x-awards-up-to-5-4m-to-vedanta-biosciences-to-accelerate-the-development-of-a-novel-human-microbiome-derived-treatment-for-deadly-c-difficile-bacterial-infections/
31	20000000.0	USD	"[""Alex Smith"", ""Jessica Haywood""]"	https://www.globenewswire.com/news-release/2021/02/02/2168381/0/en/2M-seed-funding-round-empowers-AQUAOSO-to-further-its-water-risk-mitigation-tool-set-for-agricultural-lenders-and-landholders.html
32	4500000000.0	USD	[]	https://www.globenewswire.com/news-release/2021/02/02/2168381/0/en/2M-seed-funding-round-empowers-AQUAOSO-to-further-its-water-risk-mitigation-tool-set-for-agricultural-lenders-and-landholders.html
33	58000000.0	USD	[]	https://carb-x.org/carb-x-news/carb-x-funds-vedanta-biosciences-to-accelerate-the-development-of-a-new-category-of-oral-therapeutics-to-help-a-patients-microbiota-fight-drug-resistant-bacteria/
34	35000000.0	USD	[]	https://carb-x.org/carb-x-news/carb-x-funds-vedanta-biosciences-to-accelerate-the-development-of-a-new-category-of-oral-therapeutics-to-help-a-patients-microbiota-fight-drug-resistant-bacteria/
35	54000000.0	USD	"[""Vedanta"", ""VE303"", ""Clostridioides""]"	https://carb-x.org/carb-x-news/carb-x-funds-vedanta-biosciences-to-accelerate-the-development-of-a-new-category-of-oral-therapeutics-to-help-a-patients-microbiota-fight-drug-resistant-bacteria/
36	5000000000.0	USD	[]	https://carb-x.org/carb-x-news/carb-x-funds-vedanta-biosciences-to-accelerate-the-development-of-a-new-category-of-oral-therapeutics-to-help-a-patients-microbiota-fight-drug-resistant-bacteria/
37	1606000000.0	USD	[]	https://carb-x.org/carb-x-news/carb-x-funds-vedanta-biosciences-to-accelerate-the-development-of-a-new-category-of-oral-therapeutics-to-help-a-patients-microbiota-fight-drug-resistant-bacteria/
38	5000000000.0	USD	[]	https://carb-x.org/carb-x-news/carb-x-funds-vedanta-biosciences-to-accelerate-the-development-of-a-new-category-of-oral-therapeutics-to-help-a-patients-microbiota-fight-drug-resistant-bacteria/
39	30000000.0	USD	"[""BDC Capital"", ""Focus \n \n 5 \n Business \n \n 5 \n Science & Tech"", ""Webcasts"", ""Measurement & Analytics"", ""Webcasts"", ""General Enquiries"", ""Webcasts"", ""GDPR"", ""Focus \n \n Browse All News"", ""Topics"", ""Business \n \n Auto & Transportation"", ""Business Technology"", ""Entertain\u00adment & Media"", ""Financial Services & Investing"", ""Science & Tech \n \n Consumer Technology"", ""Energy & Natural Resources"", ""Heavy Industry & Manufacturing"", ""Lifestyle & Health \n \n Consumer Products & Retail"", ""Entertain\u00adment & Media"", ""Policy & Public Interest \n \n Policy & Public Interest"", ""People & Culture \n \n People & Culture"", ""CNW"", ""Measurement & Analytics"", ""General Enquiries""]"	https://www.newswire.ca/news-releases/ekona-power-raises-3-0-million-from-bdc-capital-to-accelerate-the-development-of-its-novel-technology-for-low-cost-clean-hydrogen-828153584.html
40	30000000.0	USD	"[""BDC Capital"", ""Ekona Power"", ""ET"", ""Ekona Power Inc."", ""BDC Capital""]"	https://www.newswire.ca/news-releases/ekona-power-raises-3-0-million-from-bdc-capital-to-accelerate-the-development-of-its-novel-technology-for-low-cost-clean-hydrogen-828153584.html
41	30000000.0	USD	"[""Ekona""]"	https://www.newswire.ca/news-releases/ekona-power-raises-3-0-million-from-bdc-capital-to-accelerate-the-development-of-its-novel-technology-for-low-cost-clean-hydrogen-828153584.html
42	110000000.0	GBR	[]	https://techcrunch.com/2019/06/25/motorway-series-a/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+techcrunch%2Ffundings-exits+%28TechCrunch+%C2%BB+Fundings+%26+Exits%29
